,Dust,7Be,137Cs,210Pb,40K,22Na,134Cs
2012-03-26,5.0,1046.0,0.249,44.6,5.98,5.7,
2012-04-02,40.0,,0.447,28.5,2.5,6.96,
2012-04-09,36.0,1332.0,0.691,50.9,4.54,6.68,
2012-04-16,16.0,788.0,0.395,24.7,4.13,6.18,
2012-04-23,21.0,1388.0,0.318,43.2,8.26,4.45,
2012-04-30,46.0,550.0,0.52,75.4,4.99,5.38,
2012-05-07,57.0,612.0,0.917,43.5,7.64,6.91,
2012-05-14,28.0,1278.0,0.814,50.0,1.74,3.0,
2012-05-21,20.0,1564.0,0.272,56.5,7.01,8.71,
2012-05-28,54.0,1680.0,0.126,81.9,5.33,2.65,
2012-06-04,0.0,762.0,0.304,55.8,5.49,8.09,
2012-06-11,28.0,2046.0,0.701,35.3,2.46,6.94,
2012-06-18,164.0,1494.0,1.001,98.3,7.32,9.91,
2012-06-25,59.0,1852.0,0.919,71.8,9.33,7.32,
2012-07-02,42.0,1160.0,1.037,97.6,4.08,5.16,
2012-07-09,13.0,724.0,0.687,62.3,2.97,8.63,
2012-07-16,65.0,1758.0,0.442,87.3,5.56,4.4,
2012-07-23,50.0,648.0,0.362,68.9,4.24,8.34,
2012-07-30,37.0,856.0,0.618,87.5,6.27,7.8,
2012-08-06,14.0,320.0,0.893,46.4,8.13,5.11,
2012-08-13,13.0,1466.0,0.336,60.8,5.4,7.87,
2012-08-20,54.0,798.0,0.367,60.6,6.69,5.6,
2012-08-27,65.0,906.0,0.368,63.1,2.58,6.39,
2012-09-03,9.0,1084.0,0.261,76.8,7.05,3.07,
2012-09-10,13.0,496.0,0.622,45.0,7.26,5.28,
2012-09-17,1.0,,0.626,72.2,5.0,4.33,
2012-09-24,8.0,540.0,0.781,42.4,3.1,3.84,
2012-10-01,21.0,900.0,0.697,46.5,2.16,4.88,
2012-10-08,54.0,588.0,0.374,15.9,1.82,2.75,
2012-10-15,29.0,518.0,0.265,52.9,3.22,5.33,
2012-10-22,12.0,914.0,0.374,52.4,2.38,3.54,
2012-10-29,41.0,598.0,0.369,52.5,2.9,3.72,
2012-11-05,21.0,1012.0,0.22,29.5,2.44,2.79,
2012-11-12,11.0,628.0,0.156,26.3,4.28,2.49,
2012-11-19,28.0,634.0,0.24,33.6,3.84,3.5,
2012-11-26,27.0,880.0,0.324,30.3,4.08,2.33,
2012-12-03,35.0,512.0,0.416,25.3,3.34,1.58,
2012-12-10,9.0,486.0,0.372,30.4,1.67,3.11,
2012-12-17,43.0,322.0,0.197,34.9,2.35,1.91,
2012-12-24,63.0,240.0,0.183,16.4,3.25,2.53,
2012-12-31,38.0,418.0,0.181,36.0,2.06,3.82,
2013-01-07,55.0,390.0,0.333,44.5,1.83,3.52,
2013-01-14,11.0,408.0,0.256,29.6,4.47,3.15,
2013-01-21,19.0,914.0,0.155,13.3,1.57,4.03,
2013-01-28,0.0,546.0,0.448,28.2,2.17,3.95,424.0
2013-02-04,23.0,596.0,0.454,41.0,5.44,5.38,463.0
2013-02-11,46.0,654.0,0.377,42.7,1.67,3.04,236.0
2013-02-18,18.0,804.0,0.479,14.6,4.24,2.12,580.0
2013-02-25,4.0,588.0,0.314,33.6,4.22,2.12,521.0
2013-03-04,65.0,420.0,0.465,25.5,2.77,4.26,
2013-03-11,4.0,1156.0,0.463,42.1,3.16,5.04,
2013-03-18,49.0,878.0,0.446,32.9,4.33,2.27,
2013-03-25,,,,,,,
2013-04-01,,,,,,,
2013-04-08,,,,,,,
2013-04-15,,,,,,,
2013-04-22,,,,,,,
2013-04-29,,,,,,,
2013-05-06,,,,,,,
2013-05-13,,,,,,,
2013-05-20,,,,,,,
2013-05-27,,,,,,,
2013-06-03,,,,,,,
2013-06-10,,,,,,,
2013-06-17,,,,,,,
2013-06-24,62.0,1728.0,0.2,91.7,4.71,5.88,
2013-07-01,40.0,946.0,0.517,60.4,1.29,8.98,
2013-07-08,33.0,542.0,0.322,63.5,4.42,4.93,
2013-07-15,60.0,1162.0,0.613,79.0,4.67,5.42,
2013-07-22,57.0,1226.0,0.808,95.0,6.06,4.58,
2013-07-29,56.0,1292.0,0.25,61.9,5.27,3.72,
2013-08-05,57.0,1090.0,0.628,58.5,4.58,7.57,
